university_name,arts_and_humanities,business_and_economics,clinical_preclinical_and_health,computer_science,education,engineering_and_technology,law,life_sciences,phyiscal_sciences,psychology,social_sciences
University of Malaga,15.85,17.200000000000003,27.55,30.7,17.950000000000003,22.65,,26.4,25.25,21.25,15.3
University of Malaya,27.45,43.3,42.2,47.900000000000006,39.2,49.1,,32.650000000000006,41.25,38.45,32.3
University of Malta,15.85,,30.75,30.7,27.25,22.65,,,25.25,,23.2
University of Manchester,59.9,67.2,57.6,56.3,56.0,65.7,54.9,64.7,71.3,54.7,72.4
University of Manitoba,15.85,31.6,40.2,,27.25,36.7,,32.650000000000006,25.25,,27.75
University of Mannheim,30.6,64.5,,47.900000000000006,39.2,,,,41.25,50.8,69.1
University of Manouba,,,,25.95,,,,,,,
University of Marburg,23.85,,34.3,,,,,38.9,36.35,35.35,
University of Maribor,15.85,17.200000000000003,21.5,25.95,17.950000000000003,22.65,21.6,,32.05,,15.3
University of Marrakech Cadi Ayyad,,,,17.299999999999997,,22.65,,,14.15,,
"University of Maryland, Baltimore County",,,,30.7,,32.7,,38.9,41.25,21.25,
"University of Maryland, College Park",46.9,58.6,42.2,67.7,65.5,57.5,,57.0,67.3,61.6,60.3
University of Massachusetts,42.75,48.65,37.6,57.0,47.85,52.25,,57.0,55.05,38.45,41.75
University of Mazandaran,,,,,,32.7,,,25.25,,
University of Melbourne,60.3,66.8,76.4,61.8,73.2,61.0,74.3,72.4,64.3,67.8,60.5
University of Miami,27.45,38.85,43.85,,41.1,36.7,32.3,43.7,48.25,49.25,32.3
University of Michigan-Ann Arbor,76.0,82.4,71.8,82.1,81.9,85.2,65.6,79.3,81.0,79.1,85.6
University of Milan,27.45,,45.5,25.95,,,32.3,32.650000000000006,41.25,,27.75
University of Milan-Bicocca,,17.200000000000003,37.6,35.15,,36.7,,32.650000000000006,41.25,35.35,23.2
University of Minho,23.85,27.05,30.75,17.299999999999997,36.75,32.7,,,25.25,31.25,23.2
University of Minnesota,35.599999999999994,67.7,53.5,51.1,72.5,56.9,37.0,63.1,57.8,73.1,61.5
University of Missouri-St Louis,,,27.55,,27.25,,,,41.25,35.35,35.85
University of Miyazaki,,,21.5,,,13.85,,15.2,,,
University of Modena and Reggio Emilia,,27.05,34.3,35.15,,28.8,,38.9,36.35,,23.2
University of Monastir,,,21.5,17.299999999999997,,13.85,,15.2,14.15,,
University of Montenegro,,,,,,22.65,,,14.15,,
University of Montreal,38.6,43.3,59.1,77.1,36.75,40.0,39.7,52.150000000000006,45.2,38.45,50.45
University of Mumbai,,,,,,,,,14.15,,
University of Murcia,15.85,17.200000000000003,27.55,30.7,27.25,,,26.4,25.25,21.25,15.3
University of Mysore,,,,,,,,15.2,14.15,,
University of Münster,38.6,,40.2,35.15,27.25,,,,55.05,41.2,
University of Nairobi,,,34.3,,,,,15.2,,,15.3
University of Nantes,15.85,17.200000000000003,34.3,,,22.65,,,36.35,21.25,15.3
University of Naples Federico II,23.85,31.6,34.3,41.5,,40.0,,32.650000000000006,41.25,31.25,32.3
University of Navarra,30.6,43.3,37.6,,,22.65,,38.9,,,27.75
University of Nebraska Medical Center,,,30.75,,,,,32.650000000000006,,,
University of Nebraska-Lincoln,23.85,31.6,,35.15,36.75,42.75,,43.7,48.25,41.2,32.3
University of Neuchâtel,27.45,,,,,,,47.15,32.05,38.45,38.75
"University of Nevada, Las Vegas",15.85,35.45,21.5,17.299999999999997,36.75,22.65,,26.4,32.05,31.25,27.75
University of New Mexico (Main campus),,17.200000000000003,,,,32.7,,,,,
University of Newcastle,23.85,43.3,40.2,38.7,41.1,36.7,,38.9,36.35,35.35,32.3
University of Nigeria Nsukka,,,27.55,,,,,15.2,14.15,,15.3
University of North Carolina Wilmington,,,,,17.950000000000003,,,15.2,14.15,21.25,15.3
University of North Carolina at Chapel Hill,50.2,55.0,68.9,51.1,69.7,49.1,37.0,66.4,57.8,68.9,71.3
University of North Carolina at Greensboro,15.85,27.05,27.55,,36.75,,,32.650000000000006,14.15,43.6,23.2
University of North Florida,,,,,,,,,,,15.3
University of Northern British Columbia (UNBC),,,,,,,,,,,23.2
University of Notre Dame,57.4,48.65,,41.5,,49.1,32.3,,52.6,49.25,50.45
University of Nottingham,42.75,48.65,45.5,47.900000000000006,55.9,52.25,45.0,57.0,52.6,49.25,44.25
"University of Occupational and Environmental Health, Japan",,,42.2,,,,,,,,
University of Oregon,30.6,31.6,,,44.3,,,47.15,48.25,53.1,38.75
University of Oslo,45.7,,47.8,41.5,55.5,,44.7,52.150000000000006,52.6,38.45,58.8
University of Ostrava,,,21.5,,,,,,14.15,,
University of Otago,35.599999999999994,35.45,43.85,25.95,39.2,,,38.9,41.25,49.25,44.25
University of Ottawa,30.6,31.6,53.9,43.65,39.2,36.7,41.4,43.7,41.25,35.35,32.3
University of Oulu,23.85,31.6,34.3,43.65,36.75,46.75,,,36.35,,
University of Oviedo,15.85,17.200000000000003,27.55,17.299999999999997,27.25,22.65,,38.9,32.05,31.25,
University of Oxford,86.4,91.2,84.7,92.1,87.1,95.0,78.3,95.3,93.8,,93.4
University of Padua,38.6,35.45,37.6,38.7,44.3,42.75,21.6,47.15,48.25,56.3,32.3
University of Palermo,15.85,27.05,30.75,,,32.7,,32.650000000000006,32.05,,
University of Pardubice,,17.200000000000003,,,,13.85,,,14.15,,
University of Paris,38.6,17.200000000000003,59.3,41.5,,,,54.45,62.9,41.2,38.75
University of Parma,,17.200000000000003,30.75,30.7,,22.65,,38.9,32.05,,23.2
University of Passau,,,,45.5,,,,,,,27.75
University of Patras,,,21.5,25.95,27.25,28.8,,15.2,25.25,,
University of Pavia,23.85,31.6,30.75,30.7,,,,38.9,36.35,35.35,23.2
University of Pennsylvania,78.4,86.2,76.3,77.1,84.5,73.7,67.5,86.2,74.2,83.4,81.7
University of Peradeniya,,,,,,,,15.2,25.25,,
University of Perugia,,27.05,34.3,35.15,,42.75,,38.9,45.2,,27.75
University of Peshawar,,,,,,,,,25.25,,
University of Pisa,30.6,27.05,34.3,41.5,,36.7,,38.9,48.25,,27.75
University of Pittsburgh-Pittsburgh campus,50.9,41.45,60.6,43.65,65.9,40.0,21.6,57.0,45.2,53.8,47.150000000000006
University of Plymouth,23.85,35.45,27.55,35.15,27.25,40.0,,43.7,41.25,31.25,27.75
University of Porto,23.85,27.05,37.6,30.7,39.2,36.7,,38.9,36.35,21.25,27.75
University of Portsmouth,15.85,27.05,27.55,30.7,27.25,28.8,21.6,32.650000000000006,48.25,35.35,23.2
University of Potsdam,38.6,,,43.65,36.75,,,50.0,45.2,49.25,
University of Pretoria,23.85,31.6,27.55,30.7,27.25,22.65,41.8,38.9,25.25,21.25,27.75
University of Puerto Rico,,,27.55,,,28.8,,26.4,32.05,,
University of Pécs,,,30.75,,,,,26.4,14.15,,
University of Reading,35.599999999999994,43.3,,30.7,44.3,,,52.150000000000006,55.05,43.6,
University of Regina,,,,,,32.7,,,36.35,31.25,23.2
University of Rennes 1,,17.200000000000003,27.55,35.15,,28.8,,32.650000000000006,36.35,,
University of Rhode Island,,17.200000000000003,30.75,,17.950000000000003,36.7,,32.650000000000006,36.35,31.25,27.75
University of Rochester,30.6,41.45,42.2,,50.9,40.0,,47.15,55.05,58.8,
University of Roehampton,23.85,,,,27.25,,,,,21.25,23.2
University of Rome II – Tor Vergata,15.85,27.05,30.75,,,32.7,,32.650000000000006,48.25,,
University of Rome III,27.45,27.05,,35.15,27.25,42.75,,,41.25,,27.75
University of Rovira i Virgili,27.45,27.05,27.55,30.7,17.950000000000003,36.7,,43.7,45.2,21.25,35.85
University of Salamanca,27.45,27.05,27.55,30.7,41.1,22.65,,32.650000000000006,36.35,21.25,27.75
University of Salento,,17.200000000000003,,30.7,,32.7,,38.9,36.35,,15.3
University of Salerno,15.85,27.05,40.2,35.15,,40.0,,,41.25,,23.2
University of Salford,15.85,27.05,21.5,,,36.7,,26.4,,,23.2
University of Santiago de Compostela,23.85,27.05,27.55,25.95,27.25,28.8,,32.650000000000006,32.05,21.25,15.3
"University of Santiago, Chile (USACH)",15.85,,21.5,,,13.85,,15.2,14.15,,
University of Sargodha,,,,,,,,15.2,14.15,,
University of Saskatchewan,15.85,17.200000000000003,34.3,35.15,27.25,36.7,,32.650000000000006,41.25,31.25,27.75
University of Sassari,,,27.55,,,,,32.650000000000006,32.05,,27.75
University of Science and Technology Beijing,,17.200000000000003,,30.7,,32.7,,,25.25,,15.3
University of Science and Technology of China,,,,61.0,,76.5,,66.8,71.3,,
University of Science and Technology of Oran Mohamed-Boudiaf,,,,,,13.85,,,14.15,,
University of Sciences and Technology Houari Boumediene,,,,17.299999999999997,,13.85,,,14.15,,
University of Seoul,,,,,,22.65,,,25.25,,
University of Seville,27.45,27.05,27.55,30.7,27.25,28.8,,26.4,25.25,21.25,15.3
University of Sfax,,17.200000000000003,21.5,17.299999999999997,,22.65,,15.2,14.15,,
University of Sharjah,,,,,,32.7,,,32.05,,
University of Sheffield,54.4,45.55,50.0,,49.7,52.25,40.3,54.45,50.75,46.55,61.9
University of Shizuoka,,,21.5,,,,,15.2,,,
University of Siegen,,31.6,,,,36.7,,,41.25,,27.75
University of Siena,27.45,27.05,30.75,30.7,,36.7,,26.4,41.25,,27.75
University of Silesia in Katowice,15.85,,,,17.950000000000003,,,15.2,14.15,,15.3
University of Sonora,,,,,,13.85,,,14.15,,
University of Sousse,,17.200000000000003,21.5,17.299999999999997,,22.65,,,14.15,,
University of South Africa,15.85,17.200000000000003,,17.299999999999997,27.25,32.7,21.6,,25.25,21.25,15.3
University of South Australia,30.6,45.55,37.6,51.1,53.1,46.75,39.6,,36.35,35.35,
University of South Bohemia in České Budějovice,,,21.5,,,,,38.9,,,
University of South Carolina-Columbia,23.85,38.85,34.3,,36.75,40.0,37.0,32.650000000000006,41.25,31.25,35.85
University of South China,,,21.5,,,13.85,,15.2,,,
University of South Dakota,,,21.5,,,,,26.4,,21.25,
University of South Florida (Tampa),15.85,31.6,37.6,35.15,39.2,36.7,,,45.2,41.2,32.3
University of South Wales,,,,,,,,,,,15.3
University of Southampton,42.75,43.3,45.5,51.1,50.0,59.1,32.3,54.45,61.5,46.55,47.150000000000006
University of Southern California,48.4,64.1,56.9,73.4,72.3,67.4,44.0,60.0,55.05,60.0,68.0
University of Southern Denmark,27.45,45.55,37.6,41.5,32.599999999999994,42.75,,47.15,48.25,38.45,35.85
University of Southern Queensland,,27.05,,,27.25,36.7,,,,21.25,
University of Split,,,30.75,,,13.85,,38.9,32.05,,
University of St Andrews,59.0,48.65,37.6,30.7,,,,57.0,52.6,49.25,47.150000000000006
University of St Gallen,,55.1,,,,,,,,,32.3
University of Stirling,30.6,35.45,30.75,,36.75,,,47.15,41.25,38.45,38.75
University of Strasbourg,15.85,17.200000000000003,40.2,30.7,,36.7,,43.7,52.6,21.25,27.75
University of Strathclyde,23.85,43.3,40.2,35.15,27.25,36.7,32.3,,41.25,21.25,32.3
University of Stuttgart,30.6,,,47.900000000000006,,52.25,,38.9,48.25,,
University of Surrey,30.6,54.0,34.3,51.1,,49.1,21.6,38.9,41.25,43.6,
University of Sussex,35.599999999999994,56.9,,35.15,36.75,,40.6,52.150000000000006,55.05,54.6,67.3
University of Sydney,60.4,52.5,66.3,55.4,58.9,56.9,59.0,65.7,57.8,64.6,52.9
University of Szeged,,,27.55,17.299999999999997,,,,26.4,32.05,,
University of São Paulo,35.599999999999994,38.85,53.1,35.15,47.85,32.7,45.0,50.0,36.35,49.25,38.75
University of Tabriz,,,27.55,25.95,,36.7,,15.2,25.25,,
University of Talca,,,,,,,,15.2,14.15,,
University of Tartu,27.45,38.85,34.3,41.5,27.25,,,50.0,41.25,38.45,32.3
University of Tasmania,23.85,31.6,34.3,30.7,36.75,32.7,37.0,54.45,52.6,31.25,32.3
University of Technology Sydney,30.6,48.65,37.6,56.6,52.9,52.25,49.1,47.15,50.75,,38.75
University of Technology of Compiègne,,,,,,28.8,,,,,
"University of Technology, Iraq",,,,,,13.85,,,14.15,,
University of Tehran,15.85,31.6,,35.15,27.25,42.75,,15.2,25.25,31.25,27.75
University of Texas at Arlington,15.85,27.05,21.5,35.15,27.25,32.7,,26.4,32.05,21.25,15.3
University of Texas at Austin,55.1,64.9,50.6,81.6,75.2,82.6,46.0,65.7,74.3,70.0,69.3
University of Texas at Dallas,23.85,45.55,37.6,41.5,,45.1,,,41.25,,38.75
University of Texas at El Paso,,17.200000000000003,27.55,17.299999999999997,17.950000000000003,32.7,,38.9,25.25,31.25,23.2
University of Thessaly,,,30.75,25.95,17.950000000000003,32.7,,26.4,,,
University of Tlemcen,,,,,,13.85,,,14.15,,
University of Toledo,,27.05,27.55,,27.25,40.0,,26.4,36.35,31.25,23.2
University of Toronto,74.2,71.6,78.9,81.9,77.8,76.9,74.9,83.3,79.6,73.0,73.8
University of Tours,15.85,,30.75,,,13.85,,26.4,25.25,21.25,15.3
University of Toyama,,,21.5,,,13.85,,,14.15,,
University of Trento,30.6,31.6,,51.1,,40.0,,47.15,48.25,35.35,38.75
University of Trieste,15.85,,34.3,,,36.7,,38.9,48.25,31.25,
University of Trás-os-Montes and Alto Douro,,,21.5,,,22.65,,26.4,25.25,,
University of Tsukuba,,,37.6,30.7,36.75,36.7,,38.9,41.25,31.25,32.3
University of Tunis El Manar,,27.05,21.5,17.299999999999997,,22.65,,15.2,14.15,,
University of Turin,27.45,27.05,34.3,35.15,32.599999999999994,,32.3,38.9,41.25,31.25,23.2
University of Turku,23.85,31.6,40.2,38.7,39.2,,,47.15,36.35,38.45,32.3
University of Twente,,48.65,,45.5,,45.1,,,45.2,46.55,53.7
University of Tübingen,63.8,,51.7,47.900000000000006,51.1,,,62.9,48.25,60.9,50.45
University of Udine,,31.6,30.75,30.7,,36.7,,32.650000000000006,,,23.2
University of Ulsan,,,34.3,17.299999999999997,,22.65,,,,,
University of Urbino Carlo Bo,,,,,,,,15.2,45.2,,
University of Utah,23.85,35.45,43.85,41.5,32.599999999999994,40.0,,50.0,45.2,38.45,35.85
University of Valencia,23.85,27.05,34.3,17.299999999999997,17.950000000000003,32.7,37.0,38.9,41.25,31.25,27.75
University of Valladolid,15.85,17.200000000000003,21.5,17.299999999999997,17.950000000000003,22.65,,32.650000000000006,14.15,,15.3
University of Valparaíso,,,21.5,,,,,,25.25,,
"University of Veterinary and Animal Sciences, Lahore",,,,,,,,15.2,,,
University of Victoria,27.45,31.6,30.75,38.7,27.25,42.75,,38.9,50.75,46.55,35.85
University of Vienna,66.1,55.6,,38.7,39.2,,46.4,60.4,57.8,55.6,55.7
University of Vigo,15.85,17.200000000000003,,30.7,17.950000000000003,28.8,,26.4,25.25,,
University of Virginia (Main campus),42.75,57.5,49.8,43.65,66.1,42.75,50.0,50.0,48.25,73.2,47.150000000000006
University of Waikato,23.85,38.85,,,32.599999999999994,32.7,,,32.05,31.25,35.85
University of Warsaw,27.45,17.200000000000003,,35.15,,,,32.650000000000006,41.25,31.25,23.2
University of Warwick,57.9,72.2,47.8,45.5,47.85,52.25,47.5,52.150000000000006,61.5,52.6,56.7
University of Washington,49.3,67.3,74.8,81.5,76.5,66.5,67.1,,80.9,73.8,74.6
University of Waterloo,23.85,43.3,34.3,72.0,,56.5,,43.7,57.8,49.25,44.25
University of West Bohemia,,,,17.299999999999997,,22.65,,,14.15,,
University of Westminster,23.85,17.200000000000003,,,,,,,,,41.75
University of Windsor,,27.05,,35.15,,36.7,,26.4,32.05,31.25,15.3
University of Wisconsin-Madison,59.7,61.9,55.1,67.2,82.8,67.6,37.0,72.6,74.5,70.0,77.8
University of Wisconsin-Milwaukee,15.85,27.05,27.55,25.95,27.25,32.7,,38.9,45.2,21.25,27.75
University of Wollongong,33.25,38.85,34.3,41.5,47.85,56.2,44.6,47.15,52.6,35.35,38.75
University of Wolverhampton,,,,,17.950000000000003,,,,,,32.3
University of Wuppertal,,,,,,36.7,,,41.25,,
University of Würzburg,33.25,,42.2,41.5,,,,58.4,48.25,43.6,
University of Yamanashi,,,21.5,,,13.85,,15.2,,,
University of York,61.6,45.55,43.85,41.5,51.6,,37.0,54.45,45.2,49.25,53.6
University of Zagreb,15.85,17.200000000000003,21.5,17.299999999999997,17.950000000000003,22.65,21.6,15.2,,,15.3
University of Zanjan,,,,,,22.65,,,14.15,,
University of Zaragoza,15.85,,27.55,,,28.8,,26.4,,,15.3
University of Zurich,47.4,61.2,53.0,56.4,51.7,,39.9,65.5,57.8,51.6,58.2
University of the Aegean,,27.05,,30.7,17.950000000000003,,,,25.25,,27.75
"University of the Andes, Colombia",15.85,31.6,27.55,30.7,27.25,22.65,,,32.05,,32.3
"University of the Andes, Venezuela",,,,,,,,,14.15,,
University of the Balearic Islands,15.85,17.200000000000003,27.55,25.95,17.950000000000003,28.8,,32.650000000000006,45.2,21.25,15.3
University of the Basque Country,23.85,17.200000000000003,27.55,25.95,27.25,28.8,21.6,32.650000000000006,36.35,21.25,23.2
University of the Philippines,,,45.5,17.299999999999997,,22.65,,15.2,14.15,,23.2
University of the Punjab,,,,,,22.65,,15.2,14.15,,15.3
University of the Ryukyus,,,21.5,,,13.85,,15.2,14.15,,
University of the Sunshine Coast,,,27.55,,27.25,,,38.9,,,32.3
University of the West of England,15.85,31.6,27.55,25.95,27.25,28.8,,15.2,,35.35,27.75
University of the West of Scotland,,,,,32.599999999999994,,,,48.25,,15.3
University of the Western Cape,23.85,,34.3,,27.25,,,15.2,36.35,,27.75
University of the Witwatersrand,35.599999999999994,31.6,52.7,30.7,36.75,22.65,32.3,38.9,25.25,31.25,44.25
University of Évora,,,,,,,,32.650000000000006,25.25,,
University of Łódź,15.85,17.200000000000003,,,,,,15.2,14.15,,15.3
Università della Svizzera Italiana,,38.85,,45.5,,,,,,,32.3
Université Bourgogne Franche-Comté (UBFC),15.85,17.200000000000003,42.2,25.95,,22.65,,32.650000000000006,25.25,21.25,23.2
Université Catholique de Louvain,46.3,48.65,45.5,45.5,44.3,42.75,,52.150000000000006,57.8,46.55,50.45
Université Hassan II de Casablanca,,,,17.299999999999997,,22.65,,,14.15,,
Université Laval,23.85,31.6,45.5,30.7,17.950000000000003,32.7,37.0,47.15,36.35,31.25,27.75
Université Libre de Bruxelles,30.6,38.85,42.2,35.15,,32.7,,,48.25,35.35,41.75
Université Saint-Joseph de Beyrouth,,,27.55,,,,,,,,
Université de Sherbrooke,,,34.3,38.7,17.950000000000003,32.7,,32.650000000000006,36.35,21.25,
Université de Versailles Saint-Quentin-en-Yvelines,23.85,,34.3,25.95,,28.8,,47.15,48.25,,38.75
Université du Québec,23.85,17.200000000000003,34.3,35.15,27.25,36.7,,38.9,36.35,31.25,27.75
Uppsala University,42.75,38.85,47.8,41.5,41.1,42.75,,74.9,57.8,43.6,56.9
Ural Federal University,23.85,27.05,,17.299999999999997,17.950000000000003,13.85,,,32.05,,15.3
Urmia University,,,,,,22.65,,15.2,14.15,,
Utrecht University,52.2,,53.4,38.7,68.1,,58.8,67.2,62.9,64.5,67.7
Utsunomiya University,,,,,,13.85,,,,,
V.N. Karazin Kharkiv National University,,,,,,13.85,,,14.15,,
VIT University,,17.200000000000003,,35.15,,28.8,,15.2,25.25,,
VSB - Technical University of Ostrava,,17.200000000000003,,17.299999999999997,,13.85,,,14.15,,
Vanderbilt University,30.6,41.45,58.1,38.7,81.3,49.1,44.3,58.9,50.75,64.3,50.45
Verona University,15.85,17.200000000000003,34.3,25.95,,,,38.9,36.35,31.25,
Victoria University,,27.05,30.75,41.5,27.25,46.75,,38.9,,21.25,27.75
Victoria University of Wellington,35.599999999999994,31.6,,35.15,41.1,,37.0,,41.25,49.25,38.75
Vietnam National University (Ho Chi Minh City),,,,17.299999999999997,,22.65,,,14.15,,
"Vietnam National University, Hanoi",,,,,,32.7,,,25.25,,
Vilnius Gediminas Technical University,,35.45,,,,22.65,,,14.15,,32.3
Vilnius University,15.85,17.200000000000003,27.55,,,,,38.9,25.25,,15.3
Virginia Polytechnic Institute and State University,23.85,38.85,,55.1,56.1,60.1,,38.9,41.25,38.45,35.85
Vita-Salute San Raffaele University,,,40.2,,,,,,,21.25,
Volgograd State Technical University,,,,,,13.85,,,,,
Voronezh State University,,,,,,,,,14.15,,
Vrije Universiteit Amsterdam,38.6,48.65,45.5,57.6,41.1,,37.0,52.150000000000006,55.05,65.8,52.8
Vrije Universiteit Brussel,27.45,38.85,40.2,35.15,47.85,42.75,32.3,47.15,41.25,35.35,47.150000000000006
Wageningen University & Research,,,47.8,,,52.25,,86.0,67.1,,59.9
Wake Forest University,15.85,,37.6,,32.599999999999994,40.0,,43.7,36.35,51.9,27.75
Warsaw University of Technology,,,,25.95,,22.65,,,25.25,,
Waseda University,27.45,17.200000000000003,27.55,35.15,32.599999999999994,36.7,,26.4,32.05,31.25,27.75
Washington State University,23.85,41.45,34.3,38.7,27.25,40.0,,43.7,48.25,31.25,35.85
Washington University in St Louis,30.6,55.6,72.5,43.65,,40.0,,77.6,52.6,59.7,54.6
Wayne State University,15.85,27.05,37.6,38.7,27.25,32.7,21.6,26.4,41.25,31.25,23.2
Wenzhou Medical University,,,21.5,,,,,15.2,,,
West University of Timişoara,,,,,,,,,14.15,,
West Virginia University,15.85,17.200000000000003,30.75,43.65,27.25,36.7,,15.2,36.35,31.25,23.2
Western Paraná State University (Unioeste),,,,,,,,15.2,,,
Western Sydney University,35.599999999999994,31.6,40.2,30.7,32.599999999999994,32.7,,47.15,,38.45,35.85
Western University,30.6,45.55,45.5,35.15,41.1,36.7,,38.9,36.35,43.6,35.85
Western Washington University,,,,,,,,,36.35,,15.3
William & Mary,23.85,31.6,,45.5,39.2,,,38.9,50.75,49.25,32.3
Worcester Polytechnic Institute,,45.55,,35.15,,32.7,,,36.35,,
Wrocław University of Science and Technology,,,,17.299999999999997,,13.85,,15.2,14.15,,
Wuhan University,,35.45,42.2,35.15,,49.1,21.6,43.7,50.75,,41.75
Wuhan University of Technology,,17.200000000000003,,17.299999999999997,,32.7,,,32.05,,15.3
Xiamen University,,43.3,30.75,30.7,32.599999999999994,40.0,,38.9,41.25,,23.2
Xiangtan University,,,,25.95,,22.65,,,25.25,,
Xidian University,,,,38.7,,22.65,,,14.15,,
Xi’an Jiaotong University,,31.6,30.75,43.65,,52.25,,32.650000000000006,32.05,,35.85
Yale University,81.8,85.8,77.3,79.9,,84.3,79.3,91.7,88.1,79.5,86.5
Yamagata University,,,21.5,,,13.85,,15.2,14.15,,
Yamaguchi University,,,21.5,,,13.85,,15.2,,,
Yangzhou University,,,21.5,35.15,,28.8,,15.2,25.25,,
Yanshan University,,,,17.299999999999997,,13.85,,,14.15,,
Yasouj University,,,,,,36.7,,,41.25,,
Yazd University,,,,,,13.85,,,14.15,,
Yeditepe University,,,21.5,,,,,,,,
Yeungnam University,,,21.5,41.5,,32.7,,15.2,36.35,,
Yokohama City University,,,30.75,,,,,32.650000000000006,14.15,,
Yokohama National University,,,,17.299999999999997,,22.65,,,,,
Yonsei University (Seoul campus),27.45,43.3,55.3,38.7,47.85,46.75,,38.9,41.25,35.35,35.85
York University,33.25,48.65,,,39.2,36.7,46.8,32.650000000000006,41.25,55.5,38.75
Yuan Ze University,,17.200000000000003,,17.299999999999997,,13.85,,,14.15,,
Yıldız Technical University,,,,17.299999999999997,17.950000000000003,13.85,,,14.15,,
Zagazig University,,,21.5,,,32.7,,15.2,14.15,,
Zhejiang University,38.6,61.6,47.8,71.9,51.7,73.1,,60.2,55.05,31.25,44.25
Zhejiang University of Technology,,,27.55,17.299999999999997,,22.65,,,25.25,,
Åbo Akademi University,,,,,32.599999999999994,28.8,,38.9,25.25,,23.2
École Centrale de Lyon,,,,,,28.8,,,,,
École Normale Supérieure de Lyon,33.25,,,47.900000000000006,,,,52.150000000000006,62.4,,32.3
École Polytechnique,,51.1,,60.2,,52.25,,57.0,79.9,,
École Polytechnique Fédérale de Lausanne,,,,83.1,,85.0,,77.6,85.1,,
École des Mines de Saint-Étienne,,,,,,42.75,,,,,
École des Ponts ParisTech,,,,41.5,,36.7,,,55.05,,41.75
École normale supérieure Paris-Saclay,,27.05,,41.5,,36.7,,,36.35,,27.75
Örebro University,,,34.3,,32.599999999999994,,,38.9,,31.25,27.75
​Shahid Chamran University of Ahvaz,,,,,,22.65,,15.2,14.15,,
