university_name,arts_and_humanities,business_and_economics,clinical_preclinical_and_health,computer_science,education,engineering_and_technology,law,life_sciences,phyiscal_sciences,psychology,social_sciences
Federal University of Rio de Janeiro,23.85,27.05,27.55,17.299999999999997,27.25,22.65,,26.4,25.25,21.25,32.3
Federal University of Santa Catarina,15.85,17.200000000000003,34.3,17.299999999999997,27.25,22.65,,15.2,14.15,21.25,23.2
Federal University of Santa Maria,,17.200000000000003,21.5,,,13.85,,15.2,14.15,,15.3
Federal University of São Carlos,,,21.5,17.299999999999997,17.950000000000003,22.65,,15.2,14.15,21.25,15.3
Federal University of São Paulo (UNIFESP),,,37.6,,36.75,13.85,,26.4,,21.25,27.75
Federal University of Technology – Paraná,,17.200000000000003,,17.299999999999997,,13.85,,15.2,14.15,,
Federal University of Toulouse Midi-Pyrénées,27.45,52.7,30.75,35.15,27.25,32.7,,47.15,45.2,31.25,27.75
Federal University of Viçosa,,,21.5,,,22.65,,15.2,14.15,,15.3
Federico Santa María Technical University,,,,17.299999999999997,,22.65,,,25.25,,
Feng Chia University,,17.200000000000003,,17.299999999999997,,22.65,,,14.15,,
Ferdowsi University of Mashhad,,,,17.299999999999997,,28.8,,15.2,25.25,,
Ferhat Abbas Sétif University 1,,,,,,13.85,,,14.15,,
Flinders University,30.6,,40.2,,39.2,,,38.9,36.35,38.45,32.3
Florida Atlantic University,15.85,17.200000000000003,30.75,35.15,27.25,22.65,,,25.25,35.35,15.3
Florida Institute of Technology,,,,,,22.65,,,32.05,31.25,
Florida International University,15.85,27.05,30.75,35.15,36.75,42.75,32.3,38.9,36.35,41.2,23.2
Florida State University,27.45,31.6,30.75,30.7,59.6,40.0,50.0,47.15,52.6,49.25,41.75
Fluminense Federal University,15.85,17.200000000000003,21.5,17.299999999999997,17.950000000000003,13.85,,15.2,14.15,,15.3
Free University of Berlin,68.5,45.55,,43.65,50.7,,,57.0,55.05,52.0,62.6
Free University of Bozen-Bolzano,,35.45,,47.900000000000006,,40.0,,,,,
Fu Jen Catholic University,,,27.55,,,,,15.2,,,
Fudan University,45.8,51.5,59.3,51.1,,61.4,,58.3,65.0,31.25,50.45
Fujita Health University,,,34.3,,,,,,,,
Fuzhou University,,,,17.299999999999997,,32.7,,38.9,36.35,,
GITAM University,,,,,,13.85,,,,,
Gazi University,15.85,,21.5,17.299999999999997,17.950000000000003,13.85,,15.2,14.15,,15.3
Gaziantep University,,,21.5,,,13.85,,,,,
Gdańsk University of Technology,,,,17.299999999999997,,22.65,,26.4,25.25,,
Gebze Technical University,,,,,,13.85,,,14.15,,
George Mason University,23.85,35.45,42.2,35.15,41.1,32.7,55.7,32.650000000000006,36.35,35.35,38.75
George Washington University,23.85,41.45,45.5,35.15,44.3,36.7,47.6,47.15,36.35,31.25,50.45
Georgetown University,45.4,45.55,40.2,,,,66.9,47.15,25.25,,63.8
Georgia Institute of Technology,38.6,57.3,,84.3,,89.3,,,71.1,50.9,57.4
Georgia State University,27.45,45.55,30.75,35.15,47.85,,21.6,32.650000000000006,32.05,35.35,38.75
Ghent University,47.9,41.45,47.8,41.5,60.9,49.1,39.6,66.9,55.05,58.2,50.45
Gifu University,,,21.5,,,13.85,,15.2,,,
Glasgow Caledonian University,,27.05,30.75,,,28.8,,,,,27.75
Goethe University Frankfurt,35.599999999999994,35.45,37.6,25.95,32.599999999999994,,55.8,47.15,45.2,38.45,35.85
"Goldsmiths, University of London",42.75,,,,36.75,,,,,52.0,50.45
Government College University Lahore,,,,,,13.85,,15.2,14.15,,
Graz University of Technology,,,,45.5,,36.7,,,36.35,,
Grenoble Alpes University,23.85,17.200000000000003,42.2,35.15,44.3,40.0,,43.7,55.05,21.25,32.3
Griffith University,27.45,48.65,40.2,47.900000000000006,36.75,45.1,45.4,47.15,45.2,35.35,41.75
Grigore T. Popa University of Medicine and Pharmacy,,,21.5,,,,,,,,
Guangdong University of Technology,,,,,,32.7,,,,,
Guangxi University,,,,17.299999999999997,,13.85,,15.2,14.15,,
Gubkin Russian State University of Oil and Gas,,,,,,13.85,,,14.15,,
Gunma University,,,21.5,,,13.85,,,,,
Gwangju Institute of Science and Technology,,,,,,40.0,,38.9,25.25,,
HSE University,33.25,51.5,,35.15,,22.65,21.6,,36.35,43.6,44.25
Hacettepe University,,,37.6,,32.599999999999994,13.85,,26.4,25.25,,15.3
Hallym University,,,21.5,,,,,,,,
Hamamatsu University School of Medicine,,,21.5,,,,,,,,
Hamburg University of Technology,,,,,,32.7,,,,,
Hanoi University of Science and Technology,,,,17.299999999999997,,36.7,,,,,
Hanyang University,,38.85,30.75,35.15,,45.1,,38.9,41.25,,35.85
Harbin Institute of Technology,,35.45,,47.900000000000006,,52.25,,,,,
Harvard University,84.3,86.0,82.7,87.1,90.7,95.2,74.1,95.6,94.2,81.0,90.2
Hashemite University,,,,,,,,,14.15,,
Hasselt University,,,34.3,25.95,,32.7,,43.7,32.05,,
Hebrew University of Jerusalem,53.1,48.65,37.6,47.900000000000006,27.25,,59.4,50.0,52.6,58.7,52.6
Heidelberg University,64.7,,67.8,54.4,,,,74.5,75.9,58.7,
Helwan University,,,27.55,,,13.85,,15.2,14.15,,
Heriot-Watt University,,38.85,,35.15,,40.0,,47.15,41.25,,
Hiroshima University,,,30.75,17.299999999999997,27.25,22.65,,26.4,32.05,,
Hofstra University,,,34.3,,32.599999999999994,,,,,31.25,15.3
Hokkaido University,,,30.75,30.7,,36.7,,52.150000000000006,41.25,,32.3
Hong Kong Baptist University,27.45,38.85,34.3,45.5,32.599999999999994,,,,48.25,,35.85
Hong Kong Polytechnic University,42.75,67.9,37.6,53.5,,55.6,,,50.75,,53.2
Hosei University,,,,17.299999999999997,,22.65,,,,,
Howard University,,,52.9,,,22.65,,26.4,25.25,,15.3
Huaqiao University,,,,25.95,,22.65,,,14.15,,
Huazhong Agricultural University,,,,,,22.65,,32.650000000000006,,,
Huazhong University of Science and Technology,,38.85,43.85,43.65,,63.8,,38.9,45.2,,32.3
Humboldt University of Berlin,72.5,,,41.5,52.9,,,60.5,67.0,65.0,64.8
Hunan University,,41.45,,30.7,,45.1,,43.7,45.2,,15.3
Hyogo College of Medicine,,,27.55,,,,,,,,
I-Shou University,,,21.5,,,13.85,,,,,
IDC Herzliya,,,,,,,,,,31.25,32.3
IMT Atlantique,,,,43.65,,36.7,,,45.2,,
IPB University,,,,,,,,15.2,,,
ISCTE-University Institute of Lisbon,23.85,27.05,,17.299999999999997,,,,,,38.45,27.75
ITMO University,,,,57.5,,42.75,,,45.2,,
Ibaraki University,,,,,,13.85,,,14.15,,
Ibn Tofaïl University,,,,17.299999999999997,,22.65,,,14.15,,
Ilmenau University of Technology,,,,30.7,,28.8,,,25.25,,
Imam Abdulrahman Bin Faisal University,,,27.55,,,22.65,,,,,
Imam Khomeini International University,,,,,,32.7,,,,,
Imperial College London,,,80.0,87.2,,88.6,,87.1,89.3,,
Incheon National University,,,,,,13.85,,15.2,14.15,,
Indian Institute of Science,,,,47.900000000000006,,54.4,,47.15,45.2,,
Indian Institute of Science Education and Research Kolkata,,,,,,,,,14.15,,
"Indian Institute of Science Education and Research, Pune",,,,,,,,,36.35,,
Indian Institute of Technology (Indian School of Mines) Dhanbad,,,,,,22.65,,,14.15,,
Indian Institute of Technology Bhubaneswar,,,,,,22.65,,,32.05,,
Indian Institute of Technology Bombay,,,,45.5,,46.75,,38.9,36.35,,
Indian Institute of Technology Delhi,,,,,,46.75,,,,,
Indian Institute of Technology Gandhinagar,,,,,,13.85,,,,,
Indian Institute of Technology Guwahati,,,,25.95,,28.8,,32.650000000000006,25.25,,
Indian Institute of Technology Hyderabad,,,,25.95,,22.65,,,32.05,,
Indian Institute of Technology Indore,,,,38.7,,36.7,,,41.25,,
Indian Institute of Technology Kanpur,,,,38.7,,40.0,,,32.05,,
Indian Institute of Technology Kharagpur,,,,45.5,,42.75,,,32.05,,32.3
Indian Institute of Technology Madras,,,,38.7,,42.75,,,32.05,,
Indian Institute of Technology Patna,,,,,,22.65,,,,,
Indian Institute of Technology Roorkee,,,,35.15,,36.7,,26.4,32.05,,
Indian Institute of Technology Ropar,,,,,,28.8,,,32.05,,
Indiana University,45.4,59.5,42.2,38.7,66.6,42.75,21.6,52.150000000000006,50.75,55.9,64.0
Industrial University of Santander (UIS),,,,,,13.85,,,14.15,,
